OBJECTID,GEO,GEOID,NAME,DATE,POSITIVE,POS_NEW,POS_7DAYAVG,NEGATIVE,NEG_NEW,NEG_7DAYAVG,DEATHS,DTH_NEW,DTH_7DAYAVG,TEST_NEW,TEST_7DAYAVG,HOSP_YES,HOSP_NO,HOSP_UNK,POP,POP_MOE,PCT_POP_65,PCT_SMK,PCT_COPD,PCT_CVD,PCT_DIAB,POP_65_WI,SMK_WI,COPD_WI,CVD_WI,DIAB_WI,ShapeSTArea,ShapeSTLength
4515,County,55071,Manitowoc,2021/05/01 19:00:00+00,7506,12,5.71,32007,23,45,69,0,0,35,50.71,400,4680,2426,79407,,20.65317617,21.20381022,3.61995848,6.97029919,7.85154144,16.96037624,17.6,5.3,7.7,8.9,2994195852.82812,237749.980283173
4518,County,55141,Wood,2021/05/01 19:00:00+00,6989,19,11.14,33521,76,58.43,81,2,0.57,95,69.57,275,3741,2973,73274,,21.00748386,19.13191078,6.01011244,8.54576848,6.79474014,16.96037624,17.6,5.3,7.7,8.9,4114304657.85938,268062.955675583
4520,County,55111,Sauk,2021/05/01 19:00:00+00,5757,7,7.43,35540,-8,14.71,47,0,0,-1,22.14,248,3402,2107,63596,,18.13164024,17.57997422,7.31477167,8.33061932,11.01270792,16.96037624,17.6,5.3,7.7,8.9,4171491059.89453,298769.80494881
4526,County,55055,Jefferson,2021/05/01 19:00:00+00,8322,11,6.71,37543,34,47,109,0,0.14,45,53.71,412,5204,2706,84652,,16.35665781,17.76599964,5.43851129,6.87194633,6.61364675,16.96037624,17.6,5.3,7.7,8.9,2825025965.54688,212352.801370399
4527,County,55109,St. Croix,2021/05/01 19:00:00+00,7669,27,30,38317,77,68.43,50,0,0,104,98.43,308,5095,2266,87917,,12.88094455,14.09219928,3.9474925,9.42986779,7.82159293,16.96037624,17.6,5.3,7.7,8.9,3814789253.19531,258501.063582408
4533,County,55027,Dodge,2021/05/01 19:00:00+00,11797,13,10.71,42716,27,39.29,163,1,0.14,40,50,670,7067,4060,87776,,18.34650524,22.5630591,5.86969757,9.72136178,11.86503308,16.96037624,17.6,5.3,7.7,8.9,4454479279.33984,269209.779551748
4534,County,55127,Walworth,2021/05/01 19:00:00+00,9391,8,9.14,43594,53,63.71,136,0,0.14,61,72.86,368,3514,5509,103013,,17.17487697,19.06515777,7.48654409,7.10272968,8.59024893,16.96037624,17.6,5.3,7.7,8.9,2763384637.44141,210736.578342363
4535,County,55089,Ozaukee,2021/05/01 19:00:00+00,8124,10,6.29,43730,61,54.57,84,0,0,71,60.86,410,2754,4960,88284,,19.62879131,7.85395018,2.839996,7.67735279,9.94915138,16.96037624,17.6,5.3,7.7,8.9,1154501050.85156,164208.192847601
4538,County,55039,Fond du Lac,2021/05/01 19:00:00+00,12314,10,8.43,46999,38,52.86,111,1,0.86,48,61.29,680,8808,2826,102315,,18.8308359,17.14901714,4.29739658,6.44670854,8.30969711,16.96037624,17.6,5.3,7.7,8.9,3802861865.14844,283003.692125901
4542,County,55117,Sheboygan,2021/05/01 19:00:00+00,13668,9,8.43,49561,73,63.14,140,2,0.57,82,71.57,581,6544,6543,115205,,18.13386893,14.41187031,5.62474379,7.22321063,8.34077339,16.96037624,17.6,5.3,7.7,8.9,2567522883.65625,201754.33473565
4544,County,55035,Eau Claire,2021/05/01 19:00:00+00,11465,0,4.86,51561,58,53.71,108,0,0.29,58,58.57,392,8787,2286,102991,,16.24114371,16.33314614,6.56706283,4.7010322,8.12684418,16.96037624,17.6,5.3,7.7,8.9,3310809448.64844,243677.80748982
